x0,y0,size,cluID,frameID
-1.0,-1.0,-1.0,-1,237
-1.0,-1.0,-1.0,-1,238
-1.0,-1.0,-1.0,-1,239
-1.0,-1.0,-1.0,-1,240
-1.0,-1.0,-1.0,-1,241
-1.0,-1.0,-1.0,-1,242
-1.0,-1.0,-1.0,-1,243
-1.0,-1.0,-1.0,-1,244
-1.0,-1.0,-1.0,-1,245
-1.0,-1.0,-1.0,-1,246
-1.0,-1.0,-1.0,-1,247
-1.0,-1.0,-1.0,-1,248
-1.0,-1.0,-1.0,-1,249
-1.0,-1.0,-1.0,-1,250
-1.0,-1.0,-1.0,-1,251
-1.0,-1.0,-1.0,-1,252
-1.0,-1.0,-1.0,-1,253
-1.0,-1.0,-1.0,-1,254
-1.0,-1.0,-1.0,-1,255
-1.0,-1.0,-1.0,-1,256
-1.0,-1.0,-1.0,-1,257
-1.0,-1.0,-1.0,-1,258
-1.0,-1.0,-1.0,-1,259
-1.0,-1.0,-1.0,-1,260
-1.0,-1.0,-1.0,-1,261
-1.0,-1.0,-1.0,-1,262
-1.0,-1.0,-1.0,-1,263
-1.0,-1.0,-1.0,-1,264
-1.0,-1.0,-1.0,-1,265
-1.0,-1.0,-1.0,-1,266
-1.0,-1.0,-1.0,-1,267
-1.0,-1.0,-1.0,-1,268
-1.0,-1.0,-1.0,-1,269
-1.0,-1.0,-1.0,-1,270
-1.0,-1.0,-1.0,-1,271
-1.0,-1.0,-1.0,-1,272
-1.0,-1.0,-1.0,-1,273
-1.0,-1.0,-1.0,-1,274
-1.0,-1.0,-1.0,-1,275
-1.0,-1.0,-1.0,-1,276
-1.0,-1.0,-1.0,-1,277
-1.0,-1.0,-1.0,-1,278
-1.0,-1.0,-1.0,-1,279
-1.0,-1.0,-1.0,-1,280
-1.0,-1.0,-1.0,-1,281
-1.0,-1.0,-1.0,-1,282
-1.0,-1.0,-1.0,-1,283
-1.0,-1.0,-1.0,-1,284
-1.0,-1.0,-1.0,-1,285
-1.0,-1.0,-1.0,-1,286
-1.0,-1.0,-1.0,-1,287
-1.0,-1.0,-1.0,-1,288
-1.0,-1.0,-1.0,-1,289
-1.0,-1.0,-1.0,-1,290
-1.0,-1.0,-1.0,-1,291
-1.0,-1.0,-1.0,-1,292
-1.0,-1.0,-1.0,-1,293
-1.0,-1.0,-1.0,-1,294
-1.0,-1.0,-1.0,-1,295
-1.0,-1.0,-1.0,-1,296
-1.0,-1.0,-1.0,-1,297
-1.0,-1.0,-1.0,-1,298
-1.0,-1.0,-1.0,-1,299
-1.0,-1.0,-1.0,-1,300
-1.0,-1.0,-1.0,-1,301
-1.0,-1.0,-1.0,-1,302
-1.0,-1.0,-1.0,-1,303
-1.0,-1.0,-1.0,-1,304
-1.0,-1.0,-1.0,-1,305
-1.0,-1.0,-1.0,-1,306
-1.0,-1.0,-1.0,-1,307
-1.0,-1.0,-1.0,-1,308
-1.0,-1.0,-1.0,-1,309
-1.0,-1.0,-1.0,-1,310
-1.0,-1.0,-1.0,-1,311
-1.0,-1.0,-1.0,-1,312
-1.0,-1.0,-1.0,-1,313
-1.0,-1.0,-1.0,-1,314
-1.0,-1.0,-1.0,-1,315
-1.0,-1.0,-1.0,-1,316
-1.0,-1.0,-1.0,-1,317
-1.0,-1.0,-1.0,-1,318
-1.0,-1.0,-1.0,-1,319
-1.0,-1.0,-1.0,-1,320
-1.0,-1.0,-1.0,-1,321
-1.0,-1.0,-1.0,-1,322
-1.0,-1.0,-1.0,-1,323
-1.0,-1.0,-1.0,-1,324
-1.0,-1.0,-1.0,-1,325
-1.0,-1.0,-1.0,-1,326
-1.0,-1.0,-1.0,-1,327
-1.0,-1.0,-1.0,-1,328
-1.0,-1.0,-1.0,-1,329
-1.0,-1.0,-1.0,-1,330
-1.0,-1.0,-1.0,-1,331
-1.0,-1.0,-1.0,-1,332
-1.0,-1.0,-1.0,-1,333
-1.0,-1.0,-1.0,-1,334
-1.0,-1.0,-1.0,-1,335
-1.0,-1.0,-1.0,-1,336
-1.0,-1.0,-1.0,-1,337
-1.0,-1.0,-1.0,-1,338
-1.0,-1.0,-1.0,-1,339
-1.0,-1.0,-1.0,-1,340
-1.0,-1.0,-1.0,-1,341
-1.0,-1.0,-1.0,-1,342
-1.0,-1.0,-1.0,-1,343
-1.0,-1.0,-1.0,-1,344
-1.0,-1.0,-1.0,-1,345
-1.0,-1.0,-1.0,-1,346
-1.0,-1.0,-1.0,-1,347
-1.0,-1.0,-1.0,-1,348
-1.0,-1.0,-1.0,-1,349
-1.0,-1.0,-1.0,-1,350
-1.0,-1.0,-1.0,-1,351
-1.0,-1.0,-1.0,-1,352
-1.0,-1.0,-1.0,-1,353
-1.0,-1.0,-1.0,-1,354
-1.0,-1.0,-1.0,-1,355
-1.0,-1.0,-1.0,-1,356
-1.0,-1.0,-1.0,-1,357
-1.0,-1.0,-1.0,-1,358
-1.0,-1.0,-1.0,-1,359
-1.0,-1.0,-1.0,-1,360
-1.0,-1.0,-1.0,-1,361
-1.0,-1.0,-1.0,-1,362
-1.0,-1.0,-1.0,-1,363
-1.0,-1.0,-1.0,-1,364
-1.0,-1.0,-1.0,-1,365
-1.0,-1.0,-1.0,-1,366
-1.0,-1.0,-1.0,-1,367
-1.0,-1.0,-1.0,-1,368
-1.0,-1.0,-1.0,-1,369
-1.0,-1.0,-1.0,-1,370
-1.0,-1.0,-1.0,-1,371
-1.0,-1.0,-1.0,-1,372
-1.0,-1.0,-1.0,-1,373
-1.0,-1.0,-1.0,-1,374
-1.0,-1.0,-1.0,-1,375
-1.0,-1.0,-1.0,-1,376
-1.0,-1.0,-1.0,-1,377
-1.0,-1.0,-1.0,-1,378
-1.0,-1.0,-1.0,-1,379
-1.0,-1.0,-1.0,-1,380
-1.0,-1.0,-1.0,-1,381
-1.0,-1.0,-1.0,-1,382
-1.0,-1.0,-1.0,-1,383
-1.0,-1.0,-1.0,-1,384
-1.0,-1.0,-1.0,-1,385
-1.0,-1.0,-1.0,-1,386
-1.0,-1.0,-1.0,-1,387
-1.0,-1.0,-1.0,-1,388
-1.0,-1.0,-1.0,-1,389
-1.0,-1.0,-1.0,-1,390
-1.0,-1.0,-1.0,-1,391
-1.0,-1.0,-1.0,-1,392
-1.0,-1.0,-1.0,-1,393
-1.0,-1.0,-1.0,-1,394
-1.0,-1.0,-1.0,-1,395
-1.0,-1.0,-1.0,-1,396
-1.0,-1.0,-1.0,-1,397
-1.0,-1.0,-1.0,-1,398
-1.0,-1.0,-1.0,-1,399
-1.0,-1.0,-1.0,-1,400
-1.0,-1.0,-1.0,-1,401
-1.0,-1.0,-1.0,-1,402
-1.0,-1.0,-1.0,-1,403
-1.0,-1.0,-1.0,-1,404
-1.0,-1.0,-1.0,-1,405
-1.0,-1.0,-1.0,-1,406
-1.0,-1.0,-1.0,-1,407
-1.0,-1.0,-1.0,-1,408
-1.0,-1.0,-1.0,-1,409
